Epoch,Average_Loss
1,8.529689805271085
2,0.7901386256838582
3,0.654572343530575
4,0.5783193664606084
5,0.4357809247506648
6,0.3844831969089729
7,0.3433640821232009
8,0.3254979880392244
9,0.3124781517484753
10,0.27197364829480647
11,0.24070859556038354
12,0.23583597206347381
13,0.20523526400865352
14,0.23903554198284124
15,0.20754180471076794
16,0.23148816888479842
17,0.19507295044196635
18,0.17505155616276658
19,0.18490411081188118
20,0.17923428751912313
21,0.18065788477428796
22,0.16447204561692844
23,0.1657749636117945
24,0.14514384550071255
25,0.15695110784901173
26,0.1413462115470896
27,0.15520014837384224
28,0.15555415452678795
29,0.13328550703746755
30,0.1324985786965213
31,0.17720165871390978
32,0.14293394572648804
33,0.12627644429040938
34,0.12646795107224554
35,0.15750618280516457
36,0.12422019238247699
37,0.1348793833948595
38,0.12260743463699965
39,0.13243643161600704
40,0.12843562294296998
41,0.11408433380354312
42,0.11381250884883183
43,0.1107082439797748
44,0.15204944998294728
45,0.10725394601828044
46,0.11320728721269935
47,0.1441848321289746
48,0.10722371715015357
49,0.11128406528498709
50,0.10364471154345065
51,0.10610155257367596
52,0.17945810885543062
53,0.12232931527049885
54,0.09930336031793933
55,0.11103763409419773
56,0.09612539059568927
57,0.11696727792396373
58,0.09620851242972403
59,0.11077235053418223
60,0.09412340709613157
61,0.09544552494723772
62,0.09804489813437782
63,0.09790026965675895
64,0.1023604297376785
65,0.09964830559323129
66,0.11481611515712185
67,0.09899545190951874
68,0.09280650216663622
69,0.09780440034018349
70,0.10388996945406051
71,0.10527970136056856
72,0.10546071991401235
73,0.0929527659410822
74,0.08642431793292774
75,0.10059844640266034
76,0.08614585502169181
77,0.11434875556949488
78,0.08939588960913039
79,0.08659790067059785
80,0.09990260657499131
81,0.09519247359106528
82,0.08752293480156931
83,0.10613796848842164
84,0.10164788704288681
85,0.09061559068672743
86,0.082410525388478
87,0.09242801615565094
88,0.08410889784584648
89,0.10037367648838721
90,0.07972015834691905
91,0.08137666702116887
92,0.0886934990005702
93,0.09587486874811428
94,0.0954773389417486
95,0.08237694605762504
96,0.0908027718035677
97,0.08440177263980059
98,0.08285058815339484
99,0.09913574710065864
100,0.08006671385973999
101,0.0727912630866637
102,0.07412726786179641
103,0.07156188035403023
104,0.07418935288166262
105,0.07278778983145645
106,0.07139886187715935
107,0.07643139708364748
108,0.07289751179554721
109,0.07110884203815583
110,0.07304216348134059
111,0.07932925521367297
112,0.0730474476942543
113,0.07335442511422426
114,0.07272282533117176
115,0.07027120540475415
116,0.08582147403245734
117,0.0700658501231486
118,0.06982046801443259
119,0.07106177839882595
120,0.07439525393941968
121,0.07050739501209295
122,0.07209691175442073
123,0.07849264784725671
124,0.07201806443560983
125,0.07148759923299255
126,0.07202333405652304
127,0.07126978683218206
128,0.07381518207797684
129,0.06831426086653139
130,0.07093194004378675
131,0.06958628344570392
132,0.07223423375680889
133,0.07775168639329291
134,0.06785833858068764
135,0.07263223078370709
136,0.06901419250121743
137,0.07408475109289601
138,0.07307650157701723
139,0.06866901918919277
140,0.06876056140826381
141,0.06961729903273361
142,0.07764946645336974
143,0.071762848336288
144,0.06959445783964445
145,0.06884959002323064
146,0.06826116677911319
147,0.07021625228994285
148,0.0688779362179723
149,0.0705482301292653
150,0.06943540798941839
151,0.06884152848158301
152,0.06760030125373417
153,0.0693180626584697
154,0.07085994545024694
155,0.06853872877113598
156,0.07085555376216154
157,0.06956839558582023
158,0.07184160173841819
159,0.06602090286647844
160,0.06825371476600772
161,0.07005877829128013
162,0.07234263200236042
163,0.06486293915467164
164,0.0673233521238123
165,0.0732218372587537
166,0.06743725163804501
167,0.06476427980689044
168,0.06867220675976006
169,0.06720417332787489
170,0.06724392722370391
171,0.06892112546898041
172,0.06750638034079492
173,0.06706116300306676
174,0.06802534266115771
175,0.06814135783111926
176,0.07263917051754969
177,0.06916579615862406
178,0.06606966390168852
179,0.0664079669728568
180,0.06617772996656059
181,0.0683344611110761
182,0.0665125080893181
183,0.0673376551301209
184,0.06979703414685948
185,0.06803282968047046
186,0.06908286636714468
187,0.06988449853067238
188,0.06592755606686024
189,0.06873190364195514
190,0.06618906758610428
191,0.06806492957756999
192,0.06671896843604513
193,0.06679390994735906
194,0.07158258533700533
195,0.06377003520880778
196,0.069370872763552
197,0.06541173833124724
198,0.06576904974993049
199,0.06533817323020746
200,0.06765884101659674
201,0.0632247018906259
202,0.06432708613958556
203,0.0634344407117244
204,0.06289517837336536
205,0.06313728349686591
206,0.0634440613843347
207,0.06282658393581196
208,0.06402662306179091
209,0.06561691104098387
210,0.06388192062851848
211,0.0627125994139111
212,0.061970247170820676
213,0.06389010351957734
214,0.06367702544426795
215,0.0642825188220853
216,0.06414820234454477
217,0.06304100423225577
218,0.062401256406890974
219,0.06180955785105831
220,0.06346208878418373
221,0.06262716891762522
222,0.06262207009935195
223,0.06257831851385304
